"county","countygeoid","prevalence"
"Autauga","01001",1531
"Baldwin","01003",3243
"Barbour","01005",1126
"Bibb","01007",649
"Blount","01009",1060
"Bullock","01011",596
"Butler","01013",788
"Calhoun","01015",3236
"Chambers","01017",1514
"Cherokee","01019",927
"Chilton","01021",873
"Choctaw","01023",440
"Clarke","01025",1073
"Clay","01027",526
"Cleburne","01029",253
"Coffee","01031",1360
"Colbert","01033",1339
"Conecuh","01035",583
"Coosa","01037",531
"Covington","01039",834
"Crenshaw","01041",296
"Cullman","01043",1314
"Dale","01045",1266
"Dallas","01047",1611
"DeKalb","01049",1022
"Elmore","01051",1420
"Escambia","01053",1001
"Etowah","01055",2339
"Fayette","01057",483
"Franklin","01059",455
"Geneva","01061",672
"Greene","01063",495
"Hale","01065",691
"Henry","01067",511
"Houston","01069",1694
"Jackson","01071",1009
"Jefferson","01073",21948
"Lamar","01075",336
"Lauderdale","01077",1652
"Lawrence","01079",757
"Lee","01081",2482
"Limestone","01083",1630
"Lowndes","01085",593
"Macon","01087",1097
"Madison","01089",7922
"Marengo","01091",763
"Marion","01093",405
"Marshall","01095",1579
"Mobile","01097",11881
"Monroe","01099",559
"Montgomery","01101",7362
"Morgan","01103",2211
"Perry","01105",414
"Pickens","01107",711
"Pike","01109",701
"Randolph","01111",608
"Russell","01113",1747
"Shelby","01117",1751
"St. Clair","01115",1576
"Sumter","01119",533
"Talladega","01121",2070
"Tallapoosa","01123",1108
"Tuscaloosa","01125",4349
"Unknown","01999",41
"Walker","01127",1348
"Washington","01129",506
"Wilcox","01131",465
"Winston","01133",311
